@RELATION states.csv
@ATTRIBUTE avgAlt REAL
@ATTRIBUTE maxAlt REAL
@ATTRIBUTE curAlt REAL
@ATTRIBUTE fov REAL
@ATTRIBUTE lastAction {explore, shoot, idle}
@ATTRIBUTE life REAL
@ATTRIBUTE class {INSIGHT, NOTINSIGHT}

@DATA
-116.5865,-104.75774,-111.85432,17382.26,explore,6,NOTINSIGHT
-116.35672,-104.34841,-111.38429,17306.326,explore,6,NOTINSIGHT
-116.41713,-104.8597,-110.7448,17150.283,explore,6,NOTINSIGHT
-116.18621,-104.308205,-110.237625,17178.201,explore,6,NOTINSIGHT
-116.02061,-103.891846,-109.86908,17104.559,explore,6,NOTINSIGHT
-115.85616,-103.62005,-109.634186,17063.807,explore,6,NOTINSIGHT
-115.86401,-103.62005,-109.634186,17069.365,explore,6,NOTINSIGHT
-115.72124,-103.51102,-109.54229,17188.607,explore,6,NOTINSIGHT
-115.56982,-103.55525,-109.58826,17266.656,explore,6,NOTINSIGHT
-115.56982,-103.55525,-109.58826,17266.656,explore,6,NOTINSIGHT
-115.40824,-103.176895,-109.25316,17228.977,explore,6,NOTINSIGHT
-115.19351,-102.449036,-108.603035,17359.559,explore,6,NOTINSIGHT
-115.10061,-103.42515,-108.091995,17248.398,explore,6,NOTINSIGHT
-114.93224,-103.42515,-107.71977,17252.916,explore,6,NOTINSIGHT
-115.0035,-103.131874,-107.506485,17225.855,explore,6,NOTINSIGHT
-115.04846,-103.982666,-107.506485,17018.447,explore,6,NOTINSIGHT
-114.89689,-103.75042,-107.19099,16999.393,explore,6,NOTINSIGHT
-114.91537,-103.05659,-106.54083,17079.596,explore,6,NOTINSIGHT
-114.88885,-102.57437,-106.03121,16993.05,explore,6,NOTINSIGHT
-114.88565,-102.57437,-106.03121,17003.344,explore,6,NOTINSIGHT
-114.95432,-102.10381,-105.55126,17015.129,explore,6,NOTINSIGHT
-114.916046,-102.61438,-104.89858,17018.8,explore,6,NOTINSIGHT
-115.00598,-102.481606,-104.385414,16856.016,explore,6,NOTINSIGHT
-115.00598,-102.481606,-104.385414,16856.016,explore,6,NOTINSIGHT
-115.03535,-102.67461,-104.01114,16838.912,explore,6,NOTINSIGHT
-115.291565,-102.21376,-103.54904,16799.898,explore,6,NOTINSIGHT
-123.754745,-106.71041,-120.48555,17501.656,explore,6,NOTINSIGHT
-118.72399,-102.20588,-113.19182,16413.314,explore,6,NOTINSIGHT
-118.4176,-104.43818,-112.5123,16266.908,explore,6,NOTINSIGHT
-117.81674,-103.093254,-111.2415,15893.07,explore,6,NOTINSIGHT
-125.426796,-105.60112,-123.46495,19028.398,explore,6,NOTINSIGHT
-118.99371,-104.75754,-115.41751,17278.867,explore,6,NOTINSIGHT
-118.24288,-103.755104,-114.8048,17486.46,explore,6,NOTINSIGHT
-117.24358,-105.739,-113.464806,17433.193,explore,6,NOTINSIGHT
-116.45077,-103.29031,-112.332245,17551.945,explore,6,NOTINSIGHT
-116.2641,-103.432945,-111.96188,17472.982,explore,6,NOTINSIGHT
-116.07733,-103.432945,-111.730446,17524.156,explore,6,NOTINSIGHT
-116.072205,-103.49985,-111.730446,17521.875,explore,6,NOTINSIGHT
-115.780365,-103.728615,-111.278046,17554.965,explore,6,NOTINSIGHT
-115.458664,-104.29458,-110.62922,17430.29,explore,6,NOTINSIGHT
-115.47705,-104.29458,-110.62922,17404.447,explore,6,NOTINSIGHT
-115.1717,-103.252556,-110.118004,17496.844,explore,6,NOTINSIGHT
-114.973045,-103.995514,-109.74575,17488.676,explore,6,NOTINSIGHT
-114.912865,-103.995514,-109.50954,17488.203,explore,6,NOTINSIGHT
-114.75931,-103.77511,-109.50954,17510.252,explore,6,NOTINSIGHT
-114.58447,-103.11403,-109.11381,17484.68,explore,6,NOTINSIGHT
-114.29543,-104.26533,-108.46358,17503.805,explore,6,NOTINSIGHT
-114.12489,-103.6562,-107.95317,17441.27,explore,6,NOTINSIGHT
-113.95338,-103.328995,-107.58209,17559.652,explore,6,NOTINSIGHT
-123.947556,-107.57867,-120.5837,16295.186,explore,6,NOTINSIGHT
-117.53978,-104.6531,-113.75987,17200.75,explore,6,NOTINSIGHT
-117.299706,-103.04868,-113.25423,17069.48,explore,6,NOTINSIGHT
-112.78974,-103.78174,-108.3748,18315.467,explore,6,NOTINSIGHT
-112.756775,-102.57387,-107.897514,17897.074,explore,6,NOTINSIGHT
-112.756775,-102.57387,-107.897514,17897.074,explore,6,NOTINSIGHT
-123.47533,-103.23024,-118.707436,15129.916,explore,4,NOTINSIGHT
-123.15248,-106.49988,-120.885025,17432.93,explore,4,INSIGHT
-128.66412,-115.15466,-48.201878,13681.43,explore,10,NOTINSIGHT
-128.36443,-115.30423,-80.43854,11648.537,explore,10,NOTINSIGHT
-127.96088,-112.47359,-100.8277,10814.549,explore,10,NOTINSIGHT
-125.970055,-112.352776,-120.36777,15781.816,explore,10,INSIGHT
-125.18602,-112.05079,-119.062256,15924.234,shoot,10,INSIGHT
-123.64637,-111.67575,-119.40036,17578.838,shoot,10,INSIGHT
-121.97003,-111.69226,-119.919624,20287.23,shoot,10,INSIGHT
-120.32041,-111.23886,-116.29933,18347.324,shoot,10,INSIGHT
-122.20832,-110.920586,-114.29086,16312.717,shoot,10,NOTINSIGHT
-122.05574,-110.99558,-114.219215,16387.512,explore,10,NOTINSIGHT
-121.73498,-111.760895,-114.483604,16689.36,explore,10,NOTINSIGHT
-121.59698,-112.31393,-114.736916,16891.756,explore,8,NOTINSIGHT
-123.86229,-111.575935,-119.26897,17837.906,explore,8,INSIGHT
-124.83738,-112.735886,-120.135895,18432.139,shoot,4,NOTINSIGHT
-131.82248,-112.298515,-129.33302,18948.238,explore,2,INSIGHT
-131.93341,-115.24649,-130.85559,20631.055,shoot,2,INSIGHT
-128.37442,-113.62214,-127.619446,20316.93,shoot,2,NOTINSIGHT
-127.51361,-114.88788,-126.22577,19698.697,explore,2,NOTINSIGHT
-127.271034,-114.33093,-125.867195,19596.188,explore,2,NOTINSIGHT
-126.58155,-110.83852,-121.921036,17808.172,explore,2,NOTINSIGHT
-125.493706,-112.30356,-118.8021,16861.309,explore,2,NOTINSIGHT
-123.46351,-113.81296,-118.95083,18614.734,explore,2,NOTINSIGHT
-130.93939,-113.58354,-130.0996,19840.785,explore,2,NOTINSIGHT
-126.50255,-112.57835,-123.659454,18762.041,explore,2,NOTINSIGHT
-125.36211,-112.615776,-121.407394,18495.605,explore,2,NOTINSIGHT
-132.33208,-115.31244,-131.47385,19290.072,explore,2,NOTINSIGHT
-126.65912,-112.87282,-122.83062,18212.262,explore,2,NOTINSIGHT
-126.47709,-112.85771,-122.664154,18181.342,explore,2,NOTINSIGHT
-126.12067,-112.66378,-122.04403,18254.53,explore,2,NOTINSIGHT
-125.89514,-113.41765,-121.53726,18253.363,explore,2,NOTINSIGHT
-125.71804,-113.351006,-121.16934,18131.557,explore,2,NOTINSIGHT
-125.55433,-113.472664,-120.939896,18137.96,explore,2,NOTINSIGHT
-125.50652,-113.472664,-120.84858,18164.25,explore,2,NOTINSIGHT
-125.44092,-112.60908,-120.84858,18189.826,explore,2,NOTINSIGHT
-125.26476,-112.640236,-120.65022,18265.143,explore,2,NOTINSIGHT
-130.9235,-116.2521,-128.41959,18647.043,explore,2,INSIGHT
-132.50385,-115.96256,-129.77359,18205.7,shoot,2,INSIGHT
-134.18628,-116.61799,-133.44833,19818.55,shoot,2,INSIGHT
-133.40918,-115.42059,-132.56819,20150.02,shoot,2,INSIGHT
-133.35477,-117.27822,-132.49945,20199.682,shoot,2,NOTINSIGHT
-134.03029,-116.02828,-131.3233,17706.656,explore,2,INSIGHT
-135.39468,-112.87485,-134.34512,19113.69,shoot,2,NOTINSIGHT
-129.08823,-114.532425,-126.249825,18492.934,explore,2,NOTINSIGHT
-128.3745,-114.29738,-125.971825,19344.19,explore,2,NOTINSIGHT
-128.03612,-113.489006,-125.34363,19015.248,explore,2,INSIGHT
-134.35,-118.80839,-133.47803,19280.232,shoot,2,INSIGHT
-134.76595,-119.359314,-133.95201,19312.793,shoot,2,NOTINSIGHT
-136.80586,-113.243866,-136.57896,20077.492,explore,2,INSIGHT
-135.54288,-113.190796,-134.78473,18863.809,shoot,2,NOTINSIGHT
-133.8361,-116.34311,-132.2452,18829.363,explore,2,INSIGHT
-115.66969,-106.22377,-110.91347,18898.268,explore,10,NOTINSIGHT
-119.17572,-108.169914,-115.35131,18964.375,explore,10,NOTINSIGHT
-114.992455,-106.63724,-108.87161,18546.904,explore,10,NOTINSIGHT
-114.78095,-106.21975,-108.63452,18539.51,explore,10,NOTINSIGHT
-114.59478,-106.37913,-108.68515,18749.621,explore,10,NOTINSIGHT
-114.484795,-106.6813,-108.87227,18910.691,explore,10,NOTINSIGHT
-113.806175,-106.19907,-109.551605,19799.98,explore,10,NOTINSIGHT
-114.01045,-106.65178,-108.90174,19305.227,explore,10,NOTINSIGHT
-114.24531,-106.52131,-108.39159,18870.213,explore,10,NOTINSIGHT
-114.33386,-106.53319,-107.78108,18629.693,explore,10,NOTINSIGHT
-114.441895,-106.46474,-107.6806,18510.498,explore,10,NOTINSIGHT
-114.52019,-106.21515,-107.41297,18432.29,explore,10,NOTINSIGHT
-114.95066,-106.31075,-106.76171,18054.457,explore,10,NOTINSIGHT
-116.358,-106.188446,-105.63902,16889.953,explore,10,NOTINSIGHT
-116.67685,-106.15042,-105.267914,16404.764,explore,10,NOTINSIGHT
-116.681274,-106.15042,-105.267914,16450.535,explore,10,NOTINSIGHT
-117.79919,-106.1803,-104.61338,15347.274,explore,10,NOTINSIGHT
-117.79579,-106.1803,-104.61338,15349.465,explore,10,NOTINSIGHT
-118.65089,-106.208496,-104.11363,14529.717,explore,10,NOTINSIGHT
-119.03033,-106.14225,-103.73793,14280.012,explore,10,NOTINSIGHT
-119.02915,-106.14225,-103.73793,14280.745,explore,10,NOTINSIGHT
-119.121185,-106.1725,-103.50598,14352.153,explore,10,NOTINSIGHT
-119.22714,-106.096405,-103.41697,14358.621,explore,10,NOTINSIGHT
-119.2285,-106.096405,-103.41697,14358.516,explore,10,NOTINSIGHT
-119.16538,-106.10812,-103.468994,14310.161,explore,10,NOTINSIGHT
-119.16538,-106.10812,-103.468994,14310.161,explore,10,NOTINSIGHT
-119.036446,-106.13017,-103.6596,14533.688,explore,10,NOTINSIGHT
-118.48899,-106.13834,-103.986404,15000.813,explore,10,NOTINSIGHT
-122.36015,-106.700615,-115.3001,15748.2,explore,8,NOTINSIGHT
-116.51185,-107.45657,-108.478745,17803.135,explore,6,NOTINSIGHT
-116.189926,-106.45887,-108.82702,18122.844,explore,6,NOTINSIGHT
-115.834404,-107.089195,-109.3073,18456.828,explore,6,NOTINSIGHT
-115.57034,-107.089195,-109.93822,19110.77,explore,6,NOTINSIGHT
-115.30057,-107.03394,-109.93822,19240.887,explore,6,NOTINSIGHT
-115.07031,-107.39243,-110.69051,19480.123,explore,6,NOTINSIGHT
-127.37331,-110.90693,-126.48731,19543.898,explore,6,NOTINSIGHT
-127.40827,-111.30324,-126.68028,19720.07,explore,6,NOTINSIGHT
-124.51668,-110.28159,-121.6022,18481.98,explore,6,NOTINSIGHT
-122.96918,-108.62413,-116.0904,15797.446,explore,6,INSIGHT
-119.446915,-106.618286,-116.05356,18523.098,shoot,6,INSIGHT
-118.28324,-107.75524,-114.36763,18395.992,shoot,6,INSIGHT
-117.34154,-107.78585,-113.59566,18595.973,shoot,6,INSIGHT
-117.978096,-107.42931,-110.89779,16769.79,shoot,4,NOTINSIGHT
-126.26215,-109.95619,-124.74292,19190.938,explore,4,NOTINSIGHT
-125.928604,-109.77351,-124.09284,18974.125,explore,4,NOTINSIGHT
-125.61918,-113.58613,-123.58188,18908.785,explore,4,NOTINSIGHT
-125.87479,-112.45595,-123.92149,18998.215,explore,4,INSIGHT
-125.45283,-112.11042,-123.700745,19144.902,shoot,4,INSIGHT
-121.57376,-109.855804,-117.842445,18224.646,shoot,4,NOTINSIGHT
-119.217125,-108.1815,-114.97089,18615.516,explore,4,NOTINSIGHT
-118.298294,-108.246956,-113.43319,18202.723,explore,4,NOTINSIGHT
-118.14617,-107.98043,-112.92871,18083.396,explore,4,NOTINSIGHT
-118.05565,-107.98043,-112.58943,18017.727,explore,4,NOTINSIGHT
-118.065315,-107.65086,-112.58943,18019.363,explore,4,NOTINSIGHT
-116.25967,-106.904076,-112.22495,19309.77,explore,4,NOTINSIGHT
-113.54747,-106.50045,-107.62965,19525.434,explore,4,NOTINSIGHT
-113.68715,-106.57754,-107.277176,19365.592,explore,4,NOTINSIGHT
-114.77142,-106.448296,-106.01414,17552.02,explore,4,NOTINSIGHT
-114.810356,-106.448296,-106.01414,17542.424,explore,4,NOTINSIGHT
-115.14759,-106.38551,-105.932495,17315.371,explore,4,NOTINSIGHT
-116.72307,-106.47899,-105.27866,15976.984,explore,4,NOTINSIGHT
-116.692245,-106.47899,-105.27866,15978.9375,explore,4,NOTINSIGHT
-117.24501,-106.53054,-104.819756,15708.265,explore,4,NOTINSIGHT
-115.44948,-107.002884,-108.86733,17595.715,explore,4,INSIGHT
-115.341606,-106.19076,-105.88894,17190.62,shoot,4,NOTINSIGHT
-114.80399,-106.24031,-106.20826,17615.596,explore,4,NOTINSIGHT
-114.82736,-106.24031,-106.20826,17615.69,explore,4,NOTINSIGHT
-115.34677,-106.15717,-105.871765,17088.84,explore,4,NOTINSIGHT
-115.92322,-106.15717,-105.22445,16511.48,explore,4,NOTINSIGHT
-116.271545,-106.1708,-105.22445,16360.435,explore,4,NOTINSIGHT
-117.37823,-106.16515,-104.72999,15716.659,explore,4,NOTINSIGHT
-117.39918,-106.16515,-104.72999,15721.695,explore,4,NOTINSIGHT
-117.85391,-106.24165,-104.36673,15264.573,explore,4,NOTINSIGHT
-118.12807,-106.2017,-104.13446,15097.15,explore,4,NOTINSIGHT
-118.11273,-106.2017,-104.13446,15145.38,explore,4,NOTINSIGHT
